Weeks in office,Biden,Bush,Clinton,Obama,Trump
188,,5,23.8,-1.27142857142857,-9.91428571428571
189,,4.6,23,-0.0714285714285694,-8.98571428571429
190,,3.2,22.725,2.12857142857143,-8.91428571428571
191,,2.9,22.45,2.52857142857143,-8.45714285714286
192,,2.6,22.175,2.22857142857143,-7.88571428571429
193,,1.6,21.9,1.37142857142857,-8.47142857142857
194,,2.5,22.5333333333333,1.6,-9.67142857142857
195,,6.4,23.1666666666667,1.42857142857143,-9.28571428571429
196,,7.4,23.8,1.71428571428571,-9.1
197,,7,24.35,2.6,-7.21428571428572
198,,8.4,24.9,3.32857142857143,-6.3
199,,8.3,25.45,4.31428571428571,-7.18571428571428
200,,8.2,26,4.32857142857143,-8.47142857142857
201,,7.4,26.0666666666667,4.88571428571429,-7.77142857142857
202,,6.6,26.1333333333333,9.07142857142857,-7.3
203,,7.4,26.2,10.2285714285714,-7.7
204,,8.2,26.2,11.8714285714286,-8.57142857142857
205,,8,26.2,11.4428571428571,-9.18571428571429
206,,7.8,26.2,11.0714285714286,-9.48571428571428
207,,7.4,25,10.8714285714286,-14.8
208,,7.2,24.4,9.64285714285714,-17.2166666666667
209,,7.1,23.8,9.3,
210,,7,23.2,9.3,
211,,6.9,22.85,7.9,
212,,5.95,22.5,7.6,
213,,5,22.15,8.21428571428571,
214,,3.8,21.8,7.01428571428571,
215,,3.4,21.55,3.68571428571429,
216,,2.05,21.3,2,
217,,0.7,21.05,0.785714285714288,
218,,0.95,20.8,0.742857142857141,
219,,1.2,20.8,0.971428571428571,
220,,0.6,20.8,2.27142857142857,
221,,0,20.8,2.42857142857143,
222,,-0.25,21.6,1.38571428571429,
223,,-0.5,22.4,1.67142857142857,
224,,-1.5,23.2,2.54285714285714,
225,,-2.5,23.4666666666667,2.05714285714286,
226,,-3.5,23.7333333333333,0.742857142857141,
227,,-3.55,24,-0.985714285714283,
228,,-3.6,24.55,-0.242857142857143,
229,,-3.3,25.1,-1.38571428571428,
230,,-3,25.65,-3.25714285714286,
231,,-3.4,26.2,-2.87142857142857,
232,,-3.4,26.5,-3.68571428571429,
233,,-3.4,26.8,-4.34285714285714,
234,,-5.7,27.1,-3.8,
235,,-8,27.4,-3.88571428571428,
236,,-8.25,27.0666666666667,-3.64285714285714,
237,,-8.5,26.7333333333333,-6.21428571428571,
238,,-9.75,26.4,-6.25714285714286,
239,,-11,26,-5.95714285714286,
240,,-8.6,26.2,-6.21428571428571,
241,,-10.2,26.4,-6.85714285714285,
242,,-11.8,26.2666666666667,-7.38571428571429,
243,,-14.2,26.1333333333333,-6.52857142857143,
244,,-13.6,26,-6.88571428571429,
245,,-14.7333333333333,25,-6.54285714285714,
246,,-15.8666666666667,25.4,-5.75714285714286,
247,,-17,25.8,-7.41428571428571,
248,,-17,26.2,-6.01428571428571,
249,,-16.2,26.6,-7.82857142857143,
250,,-15.8,27.2,-10.0428571428571,
251,,-15.8,26.6,-12.6857142857143,
252,,-13.2,26,-14.5857142857143,
253,,-12.4,25.55,-15.1714285714286,
254,,-11.6,25.1,-14.9142857142857,
255,,-11.8,24.65,-10.8714285714286,
256,,-11.2,24.2,-11.4285714285714,
257,,-11.9666666666667,25.6,-11.1285714285714,
258,,-12.7333333333333,27,-11.1142857142857,
259,,-13.5,28.4,-11.1714285714286,
260,,-15.45,30.2,-10.8714285714286,
261,,-17.4,32.6,-8.44285714285714,
262,,-18.5,36.8,-8.27142857142857,
263,,-19.6,35.9,-8.94285714285714,
264,,-21.6,35,-9.71428571428571,
265,,-22.6,34.4,-8.08571428571428,
266,,-23.6,33.3,-9.65714285714286,
267,,-24.8,32.2,-10.1571428571429,
268,,-26,31.6,-9.61428571428572,
269,,-26.4,31,-9.18571428571429,
270,,-26.8,30.45,-10.3571428571429,
271,,-27.2,29.9,-9.67142857142857,
272,,-27.6,29.35,-9.64285714285714,
273,,-26.9333333333333,28.8,-7.88571428571429,
274,,-26.2666666666667,28.8,-8.07142857142857,
275,,-25.6,28.8,-8.07142857142857,
276,,-22.5,28.8,-7.57142857142857,
277,,-21.825,28.75,-7.37142857142857,
278,,-21.15,28.7,-7.5,
279,,-20.475,28.65,-8.17142857142857,
280,,-19.8,28.6,-9.37142857142857,
281,,-18.8,29.5,-10.6714285714286,
282,,-19.2,30.4,-11.7428571428571,
283,,-19.6,30.5333333333333,-12.2,
284,,-18.5,30.6666666666667,-11.5285714285714,
285,,-17.4,30.8,-13.0142857142857,
286,,-17.6,30.65,-10.8428571428571,
287,,-17.8,30.5,-10.9,
288,,-14.8,30.35,-13.3571428571429,
289,,-16,30.2,-12.9714285714286,
290,,-15.8,30.8,-11.4142857142857,
291,,-15.6,29.6,-10.3285714285714,
292,,-16.2,30.1333333333333,-10.1714285714286,
293,,-16.8,30.6666666666667,-10.8857142857143,
294,,-17.4,31.2,-12.6142857142857,
295,,-17.6,32.2,-12.4285714285714,
296,,-18.7666666666667,33.2,-12.1428571428571,
297,,-19.9333333333333,33.55,-10.8,
298,,-21.1,33.9,-10.2428571428571,
299,,-21.65,34.55,-10.9428571428571,
300,,-22.2,35.2,-12.7571428571429,
301,,-22.3,34.6,-11.8571428571429,
302,,-22.4,34,-11.3571428571429,
303,,-24.6,33.4,-11.9857142857143,
304,,-24.9,36,-10.8142857142857,
305,,-25.2,36.1,-11.3,
306,,-25.5,36.2,-10.5142857142857,
307,,-25.8,37,-11.0142857142857,
308,,-25.9,39.2,-10.7571428571429,
309,,-26,38.6,-9.78571428571428,
310,,-26.1,38,-8.57142857142857,
311,,-26.2,37.4,-7.91428571428572,
312,,-27.5,37.2,-5.87142857142857,
313,,-27.6,36.2,-3.91428571428572,
314,,-27.7,36.2,-3.45714285714286,
315,,-27.8,36.2,-4.01428571428572,
316,,-25.2,35.2,-4.44285714285714,
317,,-25.3333333333333,33.8,-4.51428571428571,
318,,-25.4666666666667,33,-6.11428571428571,
319,,-25.6,30.8,-7.3,
320,,-25.4,27.6,-5.65714285714286,
321,,-25.7,27.2,-5.94285714285714,
322,,-26,26.5,-5.21428571428571,
323,,-26.4,25.8,-4.32857142857143,
324,,-27.7,24.4,-5.05714285714286,
325,,-29,21.8,-5.14285714285714,
326,,-29.8666666666667,22,-4.6,
327,,-30.7333333333333,21.6,-4.1,
328,,-31.6,20,-3.94285714285714,
329,,-32.2,19.7,-4.24285714285714,
330,,-32.1333333333333,19.4,-5.21428571428572,
331,,-32.0666666666667,20.3,-5.24285714285714,
332,,-32,21.2,-5.68571428571428,
333,,-32.2,22.8,-6.58571428571428,
334,,-32,23,-7.37142857142857,
335,,-31.8,23.2,-5.45714285714286,
336,,-31.6,23.7666666666667,-3.52857142857143,
337,,-31.4,24.3333333333333,-3.22857142857143,
338,,-29.2,24.9,-5.1,
339,,-29.2,25.6,-5.4,
340,,-29.2,24.4,-4.04285714285714,
341,,-29.2,23.2,-4.8,
342,,-30,22.4,-4.48571428571429,
343,,-30.1,21.6,-6.85714285714286,
344,,-30.2,21.6,-6.84285714285714,
345,,-30.3,21.1,-5.98571428571429,
346,,-30.4,20.6,-4,
347,,-30.4,20.7,-5.01428571428571,
348,,-30.5333333333333,20.8,-4.11428571428571,
349,,-30.6666666666667,20.2,-4.05714285714286,
350,,-30.8,19.6,-4.38571428571429,
351,,-28.4,20,-5.25714285714286,
352,,-28.4666666666667,20.4,-4.92857142857143,
353,,-28.5333333333333,20.9,-4.82857142857143,
354,,-28.6,21.4,-6.8,
355,,-28.4,21.6,-6.27142857142857,
356,,-28.2,21.8,-7.45714285714286,
357,,-28,22.0666666666667,-7.58571428571429,
358,,-27.8,22.3333333333333,-7.07142857142857,
359,,-27.6,22.6,-7.87142857142857,
360,,-29.2,26,-8.45714285714286,
361,,-29.2666666666667,26.6,-7.87142857142857,
362,,-29.3333333333333,27.2,-8.17142857142857,
363,,-29.4,27.8,-6.95714285714286,
364,,-29,27.8,-4.74285714285714,
365,,-29.4,27,-3.44285714285714,
366,,-29.8,27.4,-2.14285714285715,
367,,-30.2,24.4,-2.45714285714286,
368,,-32.3,24,-3.91428571428572,
369,,-33.55,23.2,-3.87142857142857,
370,,-34.8,22.4,-3.21428571428571,
371,,-35.7,22.7,-1,
372,,-36.6,23,0.771428571428573,
373,,-37.4,21.2,0.871428571428571,
374,,-37.9333333333333,21.9,2.24285714285714,
375,,-38.4666666666667,22.6,2.28571428571429,
376,,-39,21.95,2.35714285714286,
377,,-38.5,21.3,0.0857142857142859,
378,,-38,20.65,1.31428571428571,
379,,-37.9,20,1.45714285714286,
380,,-37.8,20.6,1.9,
381,,-36,20.7,1.62857142857143,
382,,-35.8,20.8,0.914285714285714,
383,,-35.6,20.6666666666667,1.32857142857143,
384,,-35.4,20.5333333333333,2.05714285714286,
385,,-33,20.4,2.28571428571429,
386,,-33.6,19.7,4.22857142857143,
387,,-33.15,19,5.04285714285714,
388,,-32.7,19.4,4.37142857142857,
389,,-32.25,19.8,3.27142857142857,
390,,-31.8,20.6,2.74285714285714,
391,,-32.2,21.1,2.34285714285714,
392,,-32.6,21.6,2.72857142857143,
393,,-33.5,23.2,4.74285714285715,
394,,-34.4,24,7.24285714285714,
395,,-36.1,24,6.97142857142857,
396,,-37.8,24.3,6.48571428571428,
397,,-38.9,24.6,5.45714285714286,
398,,-40,24.4,4.85714285714286,
399,,-40.8666666666667,24.2,3.98571428571429,
400,,-41.7333333333333,24.7333333333333,3.31428571428571,
401,,-42.6,25.2666666666667,3.71428571428571,
402,,-42.2,25.8,4.52857142857143,
403,,-40.6,26.6666666666667,6.82857142857143,
404,,-38.9,27.5333333333333,6.67142857142857,
405,,-37.2,28.4,7.51428571428571,
406,,-37.8,29.6,6.81428571428571,
407,,-34.2,30.8,8.35714285714286,
408,,,32,8.5,
409,,,,10.9285714285714,
410,,,,10.4428571428571,
411,,,,11.2285714285714,
412,,,,13.0428571428571,
413,,,,12.2857142857143,
414,,,,11.9571428571429,
415,,,,11.8714285714286,
416,,,,13,
417,,,,16.825,
