Zeitstempel,Messwert; Gefahrenstufe:,2,3,4,5
2024-08-10 02:00,396.183,396.65,396.9,397.15,397.4
2024-08-10 03:00,396.182,396.65,396.9,397.15,397.4
2024-08-10 04:00,396.182,396.65,396.9,397.15,397.4
2024-08-10 05:00,396.182,396.65,396.9,397.15,397.4
2024-08-10 06:00,396.18,396.65,396.9,397.15,397.4
2024-08-10 07:00,396.179,396.65,396.9,397.15,397.4
2024-08-10 08:00,396.177,396.65,396.9,397.15,397.4
2024-08-10 09:00,396.176,396.65,396.9,397.15,397.4
2024-08-10 10:00,396.175,396.65,396.9,397.15,397.4
2024-08-10 11:00,396.171,396.65,396.9,397.15,397.4
2024-08-10 12:00,396.17,396.65,396.9,397.15,397.4
2024-08-10 13:00,396.167,396.65,396.9,397.15,397.4
2024-08-10 14:00,396.166,396.65,396.9,397.15,397.4
2024-08-10 15:00,396.165,396.65,396.9,397.15,397.4
2024-08-10 16:00,396.164,396.65,396.9,397.15,397.4
2024-08-10 17:00,396.161,396.65,396.9,397.15,397.4
2024-08-10 18:00,396.158,396.65,396.9,397.15,397.4
2024-08-10 19:00,396.155,396.65,396.9,397.15,397.4
2024-08-10 20:00,396.153,396.65,396.9,397.15,397.4
2024-08-10 21:00,396.149,396.65,396.9,397.15,397.4
2024-08-10 22:00,396.147,396.65,396.9,397.15,397.4
2024-08-10 23:00,396.145,396.65,396.9,397.15,397.4
2024-08-11 00:00,396.145,396.65,396.9,397.15,397.4
2024-08-11 01:00,396.143,396.65,396.9,397.15,397.4
2024-08-11 02:00,396.143,396.65,396.9,397.15,397.4
2024-08-11 03:00,396.141,396.65,396.9,397.15,397.4
2024-08-11 04:00,396.142,396.65,396.9,397.15,397.4
2024-08-11 05:00,396.141,396.65,396.9,397.15,397.4
2024-08-11 06:00,396.138,396.65,396.9,397.15,397.4
2024-08-11 07:00,396.135,396.65,396.9,397.15,397.4
2024-08-11 08:00,396.133,396.65,396.9,397.15,397.4
2024-08-11 09:00,396.132,396.65,396.9,397.15,397.4
2024-08-11 10:00,396.13,396.65,396.9,397.15,397.4
2024-08-11 11:00,396.126,396.65,396.9,397.15,397.4
2024-08-11 12:00,396.124,396.65,396.9,397.15,397.4
2024-08-11 13:00,396.123,396.65,396.9,397.15,397.4
2024-08-11 14:00,396.121,396.65,396.9,397.15,397.4
2024-08-11 15:00,396.12,396.65,396.9,397.15,397.4
2024-08-11 16:00,396.118,396.65,396.9,397.15,397.4
2024-08-11 17:00,396.117,396.65,396.9,397.15,397.4
2024-08-11 18:00,396.114,396.65,396.9,397.15,397.4
2024-08-11 19:00,396.114,396.65,396.9,397.15,397.4
2024-08-11 20:00,396.11,396.65,396.9,397.15,397.4
2024-08-11 21:00,396.11,396.65,396.9,397.15,397.4
2024-08-11 22:00,396.107,396.65,396.9,397.15,397.4
2024-08-11 23:00,396.105,396.65,396.9,397.15,397.4
2024-08-12 00:00,396.104,396.65,396.9,397.15,397.4
2024-08-12 01:00,396.101,396.65,396.9,397.15,397.4
2024-08-12 02:00,396.1,396.65,396.9,397.15,397.4
2024-08-12 03:00,396.098,396.65,396.9,397.15,397.4
2024-08-12 04:00,396.098,396.65,396.9,397.15,397.4
2024-08-12 05:00,396.096,396.65,396.9,397.15,397.4
2024-08-12 06:00,396.094,396.65,396.9,397.15,397.4
2024-08-12 07:00,396.091,396.65,396.9,397.15,397.4
2024-08-12 08:00,396.093,396.65,396.9,397.15,397.4
2024-08-12 09:00,396.093,396.65,396.9,397.15,397.4
2024-08-12 10:00,396.091,396.65,396.9,397.15,397.4
2024-08-12 11:00,396.091,396.65,396.9,397.15,397.4
2024-08-12 12:00,396.087,396.65,396.9,397.15,397.4
2024-08-12 13:00,396.085,396.65,396.9,397.15,397.4
2024-08-12 14:00,396.084,396.65,396.9,397.15,397.4
2024-08-12 15:00,396.083,396.65,396.9,397.15,397.4
2024-08-12 16:00,396.079,396.65,396.9,397.15,397.4
2024-08-12 17:00,396.077,396.65,396.9,397.15,397.4
2024-08-12 18:00,396.075,396.65,396.9,397.15,397.4
2024-08-12 19:00,396.072,396.65,396.9,397.15,397.4
2024-08-12 20:00,396.071,396.65,396.9,397.15,397.4
2024-08-12 21:00,396.068,396.65,396.9,397.15,397.4
2024-08-12 22:00,396.064,396.65,396.9,397.15,397.4
2024-08-12 23:00,396.06,396.65,396.9,397.15,397.4
2024-08-13 00:00,396.063,396.65,396.9,397.15,397.4
2024-08-13 01:00,396.062,396.65,396.9,397.15,397.4
2024-08-13 02:00,396.065,396.65,396.9,397.15,397.4
2024-08-13 03:00,396.073,396.65,396.9,397.15,397.4
2024-08-13 04:00,396.077,396.65,396.9,397.15,397.4
2024-08-13 05:00,396.079,396.65,396.9,397.15,397.4
2024-08-13 06:00,396.075,396.65,396.9,397.15,397.4
2024-08-13 07:00,396.067,396.65,396.9,397.15,397.4
2024-08-13 08:00,396.062,396.65,396.9,397.15,397.4
2024-08-13 09:00,396.059,396.65,396.9,397.15,397.4
2024-08-13 10:00,396.055,396.65,396.9,397.15,397.4
2024-08-13 11:00,396.054,396.65,396.9,397.15,397.4
2024-08-13 12:00,396.055,396.65,396.9,397.15,397.4
2024-08-13 13:00,396.055,396.65,396.9,397.15,397.4
2024-08-13 14:00,396.055,396.65,396.9,397.15,397.4
2024-08-13 15:00,396.063,396.65,396.9,397.15,397.4
2024-08-13 16:00,396.055,396.65,396.9,397.15,397.4
2024-08-13 17:00,396.051,396.65,396.9,397.15,397.4
2024-08-13 18:00,396.043,396.65,396.9,397.15,397.4
2024-08-13 19:00,396.04,396.65,396.9,397.15,397.4
2024-08-13 20:00,396.038,396.65,396.9,397.15,397.4
2024-08-13 21:00,396.038,396.65,396.9,397.15,397.4
2024-08-13 22:00,396.039,396.65,396.9,397.15,397.4
2024-08-13 23:00,396.047,396.65,396.9,397.15,397.4
2024-08-14 00:00,396.046,396.65,396.9,397.15,397.4
2024-08-14 01:00,396.041,396.65,396.9,397.15,397.4
2024-08-14 02:00,396.038,396.65,396.9,397.15,397.4
2024-08-14 03:00,396.034,396.65,396.9,397.15,397.4
2024-08-14 04:00,396.03,396.65,396.9,397.15,397.4
2024-08-14 05:00,396.03,396.65,396.9,397.15,397.4
2024-08-14 06:00,396.026,396.65,396.9,397.15,397.4
2024-08-14 07:00,396.025,396.65,396.9,397.15,397.4
