Zeitstempel,Messwert; Gefahrenstufe:,2,3,4,5
2024-08-10 15:00,395.695,396.4,396.6,396.8,397.05
2024-08-10 16:00,395.696,396.4,396.6,396.8,397.05
2024-08-10 17:00,395.695,396.4,396.6,396.8,397.05
2024-08-10 18:00,395.691,396.4,396.6,396.8,397.05
2024-08-10 19:00,395.689,396.4,396.6,396.8,397.05
2024-08-10 20:00,395.687,396.4,396.6,396.8,397.05
2024-08-10 21:00,395.685,396.4,396.6,396.8,397.05
2024-08-10 22:00,395.688,396.4,396.6,396.8,397.05
2024-08-10 23:00,395.69,396.4,396.6,396.8,397.05
2024-08-11 00:00,395.692,396.4,396.6,396.8,397.05
2024-08-11 01:00,395.688,396.4,396.6,396.8,397.05
2024-08-11 02:00,395.689,396.4,396.6,396.8,397.05
2024-08-11 03:00,395.691,396.4,396.6,396.8,397.05
2024-08-11 04:00,395.689,396.4,396.6,396.8,397.05
2024-08-11 05:00,395.683,396.4,396.6,396.8,397.05
2024-08-11 06:00,395.686,396.4,396.6,396.8,397.05
2024-08-11 07:00,395.688,396.4,396.6,396.8,397.05
2024-08-11 08:00,395.682,396.4,396.6,396.8,397.05
2024-08-11 09:00,395.671,396.4,396.6,396.8,397.05
2024-08-11 10:00,395.66,396.4,396.6,396.8,397.05
2024-08-11 11:00,395.657,396.4,396.6,396.8,397.05
2024-08-11 12:00,395.66,396.4,396.6,396.8,397.05
2024-08-11 13:00,395.666,396.4,396.6,396.8,397.05
2024-08-11 14:00,395.655,396.4,396.6,396.8,397.05
2024-08-11 15:00,395.658,396.4,396.6,396.8,397.05
2024-08-11 16:00,395.651,396.4,396.6,396.8,397.05
2024-08-11 17:00,395.649,396.4,396.6,396.8,397.05
2024-08-11 18:00,395.657,396.4,396.6,396.8,397.05
2024-08-11 19:00,395.645,396.4,396.6,396.8,397.05
2024-08-11 20:00,395.643,396.4,396.6,396.8,397.05
2024-08-11 21:00,395.641,396.4,396.6,396.8,397.05
2024-08-11 22:00,395.64,396.4,396.6,396.8,397.05
2024-08-11 23:00,395.639,396.4,396.6,396.8,397.05
2024-08-12 00:00,395.64,396.4,396.6,396.8,397.05
2024-08-12 01:00,395.641,396.4,396.6,396.8,397.05
2024-08-12 02:00,395.642,396.4,396.6,396.8,397.05
2024-08-12 03:00,395.642,396.4,396.6,396.8,397.05
2024-08-12 04:00,395.638,396.4,396.6,396.8,397.05
2024-08-12 05:00,395.636,396.4,396.6,396.8,397.05
2024-08-12 06:00,395.638,396.4,396.6,396.8,397.05
2024-08-12 07:00,395.641,396.4,396.6,396.8,397.05
2024-08-12 08:00,395.643,396.4,396.6,396.8,397.05
2024-08-12 09:00,395.63,396.4,396.6,396.8,397.05
2024-08-12 10:00,395.621,396.4,396.6,396.8,397.05
2024-08-12 11:00,395.623,396.4,396.6,396.8,397.05
2024-08-12 12:00,395.612,396.4,396.6,396.8,397.05
2024-08-12 13:00,395.612,396.4,396.6,396.8,397.05
2024-08-12 14:00,395.614,396.4,396.6,396.8,397.05
2024-08-12 15:00,395.606,396.4,396.6,396.8,397.05
2024-08-12 16:00,395.604,396.4,396.6,396.8,397.05
2024-08-12 17:00,395.602,396.4,396.6,396.8,397.05
2024-08-12 18:00,395.599,396.4,396.6,396.8,397.05
2024-08-12 19:00,395.597,396.4,396.6,396.8,397.05
2024-08-12 20:00,395.595,396.4,396.6,396.8,397.05
2024-08-12 21:00,395.596,396.4,396.6,396.8,397.05
2024-08-12 22:00,395.593,396.4,396.6,396.8,397.05
2024-08-12 23:00,395.613,396.4,396.6,396.8,397.05
2024-08-13 00:00,395.617,396.4,396.6,396.8,397.05
2024-08-13 01:00,395.623,396.4,396.6,396.8,397.05
2024-08-13 02:00,395.622,396.4,396.6,396.8,397.05
2024-08-13 03:00,395.618,396.4,396.6,396.8,397.05
2024-08-13 04:00,395.618,396.4,396.6,396.8,397.05
2024-08-13 05:00,395.618,396.4,396.6,396.8,397.05
2024-08-13 06:00,395.616,396.4,396.6,396.8,397.05
2024-08-13 07:00,395.614,396.4,396.6,396.8,397.05
2024-08-13 08:00,395.611,396.4,396.6,396.8,397.05
2024-08-13 09:00,395.607,396.4,396.6,396.8,397.05
2024-08-13 10:00,395.598,396.4,396.6,396.8,397.05
2024-08-13 11:00,395.593,396.4,396.6,396.8,397.05
2024-08-13 12:00,395.59,396.4,396.6,396.8,397.05
2024-08-13 13:00,395.588,396.4,396.6,396.8,397.05
2024-08-13 14:00,395.585,396.4,396.6,396.8,397.05
2024-08-13 15:00,395.583,396.4,396.6,396.8,397.05
2024-08-13 16:00,395.579,396.4,396.6,396.8,397.05
2024-08-13 17:00,395.576,396.4,396.6,396.8,397.05
2024-08-13 18:00,395.573,396.4,396.6,396.8,397.05
2024-08-13 19:00,395.569,396.4,396.6,396.8,397.05
2024-08-13 20:00,395.569,396.4,396.6,396.8,397.05
2024-08-13 21:00,395.567,396.4,396.6,396.8,397.05
2024-08-13 22:00,395.567,396.4,396.6,396.8,397.05
2024-08-13 23:00,395.569,396.4,396.6,396.8,397.05
2024-08-14 00:00,395.568,396.4,396.6,396.8,397.05
2024-08-14 01:00,395.567,396.4,396.6,396.8,397.05
2024-08-14 02:00,395.565,396.4,396.6,396.8,397.05
2024-08-14 03:00,395.566,396.4,396.6,396.8,397.05
2024-08-14 04:00,395.566,396.4,396.6,396.8,397.05
2024-08-14 05:00,395.562,396.4,396.6,396.8,397.05
2024-08-14 06:00,395.56,396.4,396.6,396.8,397.05
2024-08-14 07:00,395.562,396.4,396.6,396.8,397.05
