,id,chart_type,title,subtitle,notes,complex,x_axis_type,y_axis_type,x_axis_min,x_axis_max,y_axis_min,y_axis_max,chart_type_id
46,01ba465f792500066ff5d6bee1f170c1,Bar,Kollabierte Erträge,Geschäftszahlen von Harland & Wolff in Mio. £,,True,numeric,numeric,2004,2016,-7.0,66.7,0
47,01c2ff365bbb7d826377798d5edc4a33,Line,Steil nach oben,Wert eines Bitcoins in $,,False,categorical,numeric,03.10.2019 23:00,28.10.2019 07:30,7376.61,9864.01,1
48,01c8403779c54eaa3618b44952a05470,Bar,Vor allem die Jungen zahlen,Mehrbelastung in Franken über die verbleibende Lebensdauer bei Umsetzung des Pakets Steuern/AHV und AHV 21,"Basisjahr 2016. Annahmen: Realzins 2% pro Jahr, Produktivitätswachstum 1%",False,numeric,numeric,0,100,10.0,30500.0,0
49,01c8403779c54eaa3618b44952ba9a56,Line,Hohe Gewinne mit Schwellenländer-Anleihen,"Bloomberg-Barclays-Emerging-Markets-Dollar-Index, in Punkten",,False,categorical,numeric,21.06.2019,21.06.2018,1048.4037,1168.521,1
50,01c8403779c54eaa3618b44952bc0e15,Arrow,In vielen Städten entspannt sich die Lage,"Leerwohnungsziffer in grossen Schweizer Städten, in Prozent",,True,categorical,numeric,,,0.2,2.43,4
51,01c8403779c54eaa3618b44952db7634,Bar,Die Schweiz hat am viertmeisten Firmen unter den 50 Blue Chips des Europe-Stoxx 50,Anzahl Firmen im Europe Stoxx 50,,False,categorical,numeric,,,1.0,15.0,0
52,01c8403779c54eaa3618b44952e6cd73,Dotplot,Rindfleisch gegen Autos,"Handel zwischen der EU und Mercosur, nach Kategorie, 2018, in Mrd. €",,True,categorical,numeric,,,0.6,18.9,3
53,01c8403779c54eaa3618b44952e6d395,Line,Malaysia befindet sich in Südostasien im Mittelfeld,"Reales Wachstum des Bruttoinlandprodukts (BIP), in %",,True,numeric,numeric,2008,2018,-1.51,15.24,1
54,01c8403779c54eaa3618b44952e7fa5f,Line,Nach Rückschlag wieder erholt,"Marktanteil der SIX im Handel mit Schweizer Aktien, in %",,False,categorical,numeric,26.06.2009,26.06.2019,60.6825,85.64,1
55,01c8403779c54eaa3618b44952e9f888,Line,Chinas Abhängigkeit von Ausfuhren schrumpft,"Aussenhandelsintensität, in % des BIP im Vergleich",,True,numeric,numeric,1980.0,2017.0,12.42484853,131.7965514,1
56,01c8403779c54eaa3618b44952eb2d81,Line,Chinas Exporteure spüren Zölle noch nicht,"Ausfuhren, in Mrd. $",,False,categorical,numeric,Januar 2018,Mai 2019,135.24,227.42,1
57,01c8403779c54eaa3618b44952ed45ae,Bar,Multi-ethnisch mit einer muslimischen Mehrheit,"Die Bevölkerung Malaysias im Jahr 2010, aufgeteilt nach Zugehörigkeit von Religionen",,False,categorical,numeric,,,0.4,61.3,0
58,01c8403779c54eaa3618b44952feef5d,Bar,Wie hoch muss der Ölpreis für den Staatshaushalt sein?,"Schätzungen für den Erdölpreis für einen ausgeglichenen Haushalt (April 2019), in $ je Fass","Russland und Aserbaidschan sind keine Opec-Mitglieder. Die Werte für Venezuela, Nigeria und Angola sind Werte von RBC. In Russland basiert das Budget auf einem Ölpreis von 40 $ je Fass. Überschüsse gehen in einen Staatsfonds.",False,categorical,numeric,,,40.0,276.0,0
59,01cbcb3e17970140f19f142a0f7067b3,Bar,"Die grössten bilateralen Defizite der USA im Güterhandel, 2016",in Mrd. $,,False,categorical,numeric,,,-347.0,-13.2,0
60,01da15f0f6a6396873566efb70196731,Bar,Die AfD wurde 2023 am häufigsten Opfer von Gewalt,Anzahl der Gewaltdelikte gegen Repräsentanten und Einrichtungen der im Bundestag vertretenen Parteien ,,False,categorical,numeric,,,10.0,86.0,0
61,01da15f0f6a6396873566efb70198604,Bar,Die Alternative Liste büsst Sitze ein,"Anzahl Sitze im 125-köpfigen Stadtparlament seit der Parteigründung 1990, Wahljahre",,False,numeric,numeric,1990,2022,2.0,10.0,0
62,01da15f0f6a6396873566efb701f3887,Line,Der Kupferpreis zeigt nach oben,"Terminmarktpreis von Kupfer, in $ je t",,False,categorical,numeric,03.01.2000,09.05.2024,1321.75,11299.5,1
63,01da15f0f6a6396873566efb70ac7f0d,Line,Rund 51 Prozent der Katalanen lehnen die Unabhängigkeit derzeit ab,"Anteil der Befragten gemäss ihrer Antwort auf die Frage, ob Katalonien ein unabhängiger Staat werden soll, in Prozent","Dreimal im Jahr führt die katalanische Regierung eine repräsentative Umfrage (CEO) zu den politischen Themen in der Region durch, um die Stimmungslage in der regionalen Bevölkerung zu eruieren. 1200 Personen nehmen jeweils an der Umfrage teil.",True,categorical,numeric,3-2015,2-2024,40.8,52.4,1
64,01da15f0f6a6396873566efb70b639df,Bar,Europäer sind die spendabelsten Touristen in Japan,"Ausgaben pro Tourist nach grossen Herkunftsländern im Jahr 2023, in Yen",,False,categorical,numeric,,,101110.0,373025.0,0
65,01da15f0f6a6396873566efb70be9d31,Line,Americans work the most,Annual working hours per employed person,"Source: OECD, Seco",True,numeric,numeric,1970,2022,1319.1,1992.5,1
66,01da15f0f6a6396873566efb70bec404,Line,High productivity of Americans,"Labor productivity: GDP per hour worked, in dollars",Source: OECD,True,numeric,numeric,1995,2022,48.46,77.69,1
67,01da15f0f6a6396873566efb70bed824,Bar,Swiss earn the most,"Average wages, before and after taxes and social security contributions, for a single person, in dollars",Source: OECD,True,categorical,numeric,,,38114.0,100048.0,0
68,01da15f0f6a6396873566efb70cab5e3,Line,Hohe Kaufkraft des Schweizer Durchschnittslohns,"Durchschnittliche Jahreslöhne, kaufkraft- und inflationsbereinigt, umgerechnet in Dollar",,True,numeric,numeric,2000,2022,43694.3469,72993.0243,1
